open_time,open,high,low,close,volume,close_time,quote_volume,n_trades,taker_buy_volume,taker_buy_quote_volume,datetime_utc,vol_rolling_mean,vol_rolling_std,vol_z,n_trades_rolling_mean,n_trades_rolling_std,n_trades_z,taker_buy_ratio,price_drop_pct,avg_trade_size,iceberg_flag
1772236800000000,65872.09,65872.1,65830.0,65846.06,16.46505,1772236859999999,1084176.5592833,1851,1.86519,122823.0498327,2026-02-28 00:00:00+00:00,5.416072,4.088325220936399,2.7025682645586473,1104.7,627.0833832047591,1.1901128621600285,0.11328176955956513,-0.039515977100466136,0.008895218800643494,False
1772236860000000,65846.06,65891.03,65839.46,65839.47,3.53653,1772236919999999,232957.2095938,1262,1.66527,109690.3538701,2026-02-28 00:01:00+00:00,5.428286,4.081477322943904,-0.46349785870475174,1120.4666666666667,618.7543656183387,0.22873912686121625,0.4708768198005172,-0.010008191834099728,0.002802321711566718,False
1772236920000000,65839.47,65886.71,65839.46,65863.4,4.36769,1772236979999999,287674.0760464,1581,3.01063,198280.1214947,2026-02-28 00:02:00+00:00,5.224491333333333,3.810730020294987,-0.22483915904443147,1094.8666666666666,564.1129970549598,0.8617658800105774,0.6892957145105776,0.0363459790912543,0.00276261227071299,False
1772236980000000,65863.4,65872.64,65858.17,65858.25,5.31767,1772237039999999,350229.7463753,650,4.20887,277198.2828422,2026-02-28 00:03:00+00:00,5.2116755,3.8090741249179785,0.027826840984475486,1077.0333333333333,560.9196131616186,-0.761309327241389,0.791487625070475,-0.00781921370593395,0.008181030769218183,False
1772237040000000,65858.25,65916.26,65858.25,65909.05,6.10007,1772237099999999,401928.3111425,2207,4.49847,296380.1689529,2026-02-28 00:04:00+00:00,5.202593500000001,3.806247320059929,0.2357903794202416,1085.7833333333333,574.4483600477795,1.9518145487811267,0.737445635748861,0.07713536269184519,0.002763964657905408,False
1772237100000000,65909.05,65909.05,65884.74,65884.81,14.84247,1772237159999999,978041.2407683,1517,5.3742,354127.1774971,2026-02-28 00:05:00+00:00,5.213896666666667,3.8342155614819458,2.5112237891759563,1064.8833333333334,533.4449629821945,0.8475413548537151,0.3620825913502212,-0.036777953862185644,0.009784093605794474,False
1772237160000000,65884.8,65902.15,65884.8,65902.14,5.92939,1772237219999999,390739.4488547,1003,4.73572,312079.0820576,2026-02-28 00:06:00+00:00,5.136652333333333,3.7707642487078163,0.21023262505156431,1059.0666666666666,532.1623897266222,-0.10535631181181992,0.7986858680574754,0.026318665306711477,0.0059116550348894195,False
1772237220000000,65902.15,65962.79,65902.14,65912.02,9.37712,1772237279999999,618223.5052252,2932,6.65555,438782.1475629,2026-02-28 00:07:00+00:00,5.257921333333333,3.788441402690755,1.08730694967426,1093.5333333333333,583.7802426867612,3.1492444112227056,0.7097648317703341,0.01497674962047482,0.003198199181445021,True
1772237280000000,65912.03,65932.91,65891.15,65925.72,6.61823,1772237339999999,436182.1034257,1850,2.78406,183490.7654821,2026-02-28 00:08:00+00:00,5.3354835,3.767451752288636,0.3404812016186488,1111.7833333333333,590.099333541675,1.251004067797816,0.4206653439936864,0.02077010827917471,0.0035774216216196875,False
1772237340000000,65925.72,65925.73,65881.42,65906.78,5.78957,1772237399999999,381490.8452987,1734,1.50626,99253.3700902,2026-02-28 00:09:00+00:00,5.180759666666668,3.544818296911916,0.1717465557238727,1090.45,541.2827646950655,1.188934955949241,0.26016785352622596,-0.028729303221871585,0.0033388523644732764,False
1772237400000000,65906.79,65915.85,65885.4,65915.85,4.70472,1772237459999999,310023.2853298,1209,3.17811,209415.1655729,2026-02-28 00:10:00+00:00,5.174704,3.545324400094966,-0.13256445583790488,1090.1833333333334,541.2192917398768,0.21953516528297234,0.6755152271175511,0.013746686798146423,0.0038914143920563346,False
1772237460000000,65915.85,65959.64,65915.84,65959.64,5.40386,1772237519999999,356237.5586433,833,3.39448,223782.8826956,2026-02-28 00:11:00+00:00,5.1275933333333334,3.522738821333573,0.07842382890130319,1085.7833333333333,542.2351135453912,-0.46618768688742673,0.6281583903675968,0.06643318716210582,0.0064872268907485145,False
1772237520000000,65959.63,65977.99,65953.71,65977.99,4.62073,1772237579999999,304824.2123359,1132,4.13787,272969.4676575,2026-02-28 00:12:00+00:00,5.154955666666667,3.512127009483937,-0.15210886880570296,1092.8833333333334,539.9622112222521,0.07244334113316947,0.8955013599808902,0.02783520768688409,0.004081916961127136,False
1772237580000000,65978.0,66025.52,65973.86,66014.68,12.08178,1772237639999999,797424.8865109,2633,10.0674,664472.05252,2026-02-28 00:13:00+00:00,5.236179666666667,3.6152590913270926,1.8935296637140644,1113.1833333333334,574.0942310790045,2.647329627067561,0.8332712563187483,0.05559428900541462,0.004588598556777596,False
1772237640000000,66014.68,66014.69,65967.92,65998.04,9.79231,1772237699999999,646142.8678906,1620,4.11488,271516.8792695,2026-02-28 00:14:00+00:00,5.3414763333333335,3.6548676617447122,1.2177824417654028,1120.1333333333334,577.7126863957552,0.8652513237754547,0.42021545473741995,-0.02520651467218983,0.0060446358024654045,False
1772237700000000,65998.04,66012.87,65955.17,65957.32,16.96417,1772237759999999,1119434.4785674,2183,6.53966,431605.2433671,2026-02-28 00:15:00+00:00,5.570814833333333,3.9391284321489133,2.892354326603891,1143.1833333333334,592.1332732390889,1.7560517431775162,0.3854983768504148,-0.06169880196440075,0.0077710352725571365,False
