timestamp,datetime_utc,open,high,low,close,volume
1771545600000,2026-02-20 00:00,1948.37,1963.0,1946.89,1957.51,2912.1394033
1771549200000,2026-02-20 01:00,1956.93,1960.59,1949.25,1952.89,194.38465852
1771552800000,2026-02-20 02:00,1953.03,1955.87,1947.64,1949.85,291.10157282
1771556400000,2026-02-20 03:00,1949.16,1959.68,1949.15,1954.14,247.61141125
1771560000000,2026-02-20 04:00,1954.04,1955.45,1930.89,1938.58,861.78929341
1771563600000,2026-02-20 05:00,1938.58,1965.61,1935.81,1954.61,2500.7066801
1771567200000,2026-02-20 06:00,1954.62,1959.25,1949.28,1957.81,1917.5053732
1771570800000,2026-02-20 07:00,1957.82,1970.0,1956.51,1961.98,15321.86658963
1771574400000,2026-02-20 08:00,1960.96,1965.9,1957.19,1959.87,1081.72261793
1771578000000,2026-02-20 09:00,1959.7,1971.34,1959.69,1967.85,1191.38830221
1771581600000,2026-02-20 10:00,1967.81,1972.88,1956.49,1956.5,481.70910256
1771585200000,2026-02-20 11:00,1956.5,1957.6,1940.13,1942.78,846.80103633
1771588800000,2026-02-20 12:00,1943.5,1950.86,1941.97,1949.27,441.18982503
1771592400000,2026-02-20 13:00,1949.27,1949.27,1922.66,1934.11,1603.82893944
1771596000000,2026-02-20 14:00,1933.85,1953.74,1932.69,1943.26,1719.58899756
1771599600000,2026-02-20 15:00,1943.46,1980.76,1935.39,1963.26,2408.90705102
1771603200000,2026-02-20 16:00,1963.8,1972.67,1953.38,1969.21,1394.91497432
1771606800000,2026-02-20 17:00,1968.45,1969.95,1938.84,1966.04,2762.61869166
1771610400000,2026-02-20 18:00,1966.04,1980.5,1960.0,1975.46,2754.05960492
1771614000000,2026-02-20 19:00,1975.23,1977.61,1960.95,1963.12,2416.07210317
1771617600000,2026-02-20 20:00,1963.12,1970.78,1962.47,1970.78,1232.08865647
1771621200000,2026-02-20 21:00,1970.79,1974.3,1966.83,1973.67,602.52175392
1771624800000,2026-02-20 22:00,1973.67,1973.67,1964.13,1968.61,326.01909705
1771628400000,2026-02-20 23:00,1970.63,1972.61,1963.15,1968.71,294.08274495
1771632000000,2026-02-21 00:00,1968.35,1968.35,1961.0,1961.76,1923.04813434
1771635600000,2026-02-21 01:00,1961.76,1968.19,1961.76,1965.24,739.41435997
1771639200000,2026-02-21 02:00,1965.24,1971.01,1964.08,1965.64,2506.61835128
1771642800000,2026-02-21 03:00,1965.21,1965.21,1955.34,1958.22,268.47170442
1771646400000,2026-02-21 04:00,1958.22,1962.24,1955.39,1961.71,66.78700389
1771650000000,2026-02-21 05:00,1961.76,1963.53,1960.77,1962.35,124.82328078
1771653600000,2026-02-21 06:00,1962.4,1965.3,1960.17,1961.03,107.38699223
1771657200000,2026-02-21 07:00,1960.88,1964.09,1959.43,1962.3,258.7018116
1771660800000,2026-02-21 08:00,1962.29,1970.52,1962.02,1968.67,777.68184152
1771664400000,2026-02-21 09:00,1968.56,1976.82,1966.92,1970.09,544.88890044
1771668000000,2026-02-21 10:00,1970.1,1974.0,1970.09,1973.84,181.37015642
1771671600000,2026-02-21 11:00,1973.84,1987.5,1973.44,1976.82,450.92733439
1771675200000,2026-02-21 12:00,1976.65,1977.97,1969.52,1975.26,266.53864198
1771678800000,2026-02-21 13:00,1975.27,1980.95,1972.48,1980.95,862.87628422
1771682400000,2026-02-21 14:00,1980.75,1994.62,1978.36,1987.26,1131.46250955
1771686000000,2026-02-21 15:00,1987.02,1992.54,1983.9,1987.6,231.31234218
1771689600000,2026-02-21 16:00,1987.56,1988.86,1976.64,1985.05,619.71163367
1771693200000,2026-02-21 17:00,1985.78,1991.59,1984.0,1987.87,231.31680765
1771696800000,2026-02-21 18:00,1987.88,1994.97,1987.71,1991.31,375.49418155
1771700400000,2026-02-21 19:00,1991.31,1993.43,1987.6,1987.92,113.2879614
1771704000000,2026-02-21 20:00,1988.0,1989.93,1973.78,1974.43,919.9119867
1771707600000,2026-02-21 21:00,1973.84,1981.76,1970.01,1981.71,362.57403597
1771711200000,2026-02-21 22:00,1981.69,1981.69,1972.38,1973.38,262.11743719
1771714800000,2026-02-21 23:00,1973.66,1977.29,1971.05,1973.59,114.52077527
1771718400000,2026-02-22 00:00,1973.19,1974.44,1967.38,1971.81,199.81203166
1771722000000,2026-02-22 01:00,1972.11,1978.65,1972.1,1976.81,172.54421856
1771725600000,2026-02-22 02:00,1976.81,1982.0,1971.77,1971.77,210.463537
1771729200000,2026-02-22 03:00,1971.78,1975.31,1967.36,1974.29,156.29157699
1771732800000,2026-02-22 04:00,1974.3,1975.4,1970.69,1972.97,127.74897458
1771736400000,2026-02-22 05:00,1973.04,1974.24,1971.2,1974.24,36.85677459
1771740000000,2026-02-22 06:00,1974.39,1978.64,1973.88,1975.54,295.50794745
1771743600000,2026-02-22 07:00,1975.55,1978.23,1974.26,1975.58,92.97033403
1771747200000,2026-02-22 08:00,1975.58,1976.67,1970.63,1973.37,95.16470178
1771750800000,2026-02-22 09:00,1973.15,1975.76,1971.21,1975.76,69.47250234
1771754400000,2026-02-22 10:00,1975.76,1979.05,1974.86,1977.51,638.01881738
1771758000000,2026-02-22 11:00,1977.51,1982.0,1977.5,1980.0,314.00122829
1771761600000,2026-02-22 12:00,1980.0,1980.97,1962.0,1965.69,514.55969147
1771765200000,2026-02-22 13:00,1965.69,1968.34,1944.87,1950.83,1596.72388833
1771768800000,2026-02-22 14:00,1950.73,1953.38,1944.02,1950.13,573.36552928
1771772400000,2026-02-22 15:00,1950.2,1957.59,1945.71,1953.12,318.70746062
1771776000000,2026-02-22 16:00,1953.12,1954.21,1947.13,1951.96,140.34730927
1771779600000,2026-02-22 17:00,1951.96,1952.32,1934.72,1938.71,1595.60688922
1771783200000,2026-02-22 18:00,1939.76,1943.76,1938.37,1942.34,209.19943496
1771786800000,2026-02-22 19:00,1942.34,1944.91,1940.16,1943.29,350.6930231
1771790400000,2026-02-22 20:00,1943.3,1944.76,1939.4,1939.4,211.51314721
1771794000000,2026-02-22 21:00,1939.98,1951.7,1939.98,1950.21,341.28961695
1771797600000,2026-02-22 22:00,1950.21,1959.96,1947.0,1958.1,524.96440972
1771801200000,2026-02-22 23:00,1957.84,1960.0,1948.0,1957.4,636.65840893
1771804800000,2026-02-23 00:00,1957.41,1957.8,1928.23,1929.15,1058.44551672
1771808400000,2026-02-23 01:00,1929.15,1929.15,1845.58,1856.01,6261.94319041
1771812000000,2026-02-23 02:00,1856.7,1868.22,1851.88,1863.16,995.67007441
1771815600000,2026-02-23 03:00,1863.09,1870.94,1855.46,1863.05,842.70946514
1771819200000,2026-02-23 04:00,1863.06,1864.62,1853.62,1859.43,744.31281645
1771822800000,2026-02-23 05:00,1859.6,1870.15,1859.6,1865.54,1334.32052322
1771826400000,2026-02-23 06:00,1865.52,1882.48,1863.72,1879.85,585.96907389
1771830000000,2026-02-23 07:00,1879.32,1888.17,1876.9,1884.71,271.07020871
1771833600000,2026-02-23 08:00,1885.0,1889.31,1876.47,1880.54,1378.01732095
1771837200000,2026-02-23 09:00,1880.34,1918.0,1880.34,1916.49,1121.93947061
1771840800000,2026-02-23 10:00,1917.31,1927.82,1912.65,1913.55,711.41804508
1771844400000,2026-02-23 11:00,1914.03,1920.06,1911.19,1915.18,280.55700058
1771848000000,2026-02-23 12:00,1915.2,1926.0,1906.21,1919.54,703.93269008
1771851600000,2026-02-23 13:00,1919.79,1934.99,1918.83,1921.81,1767.02670208
1771855200000,2026-02-23 14:00,1921.8,1924.96,1894.52,1906.41,2499.86132693
1771858800000,2026-02-23 15:00,1906.41,1912.39,1892.68,1895.58,1219.30251078
1771862400000,2026-02-23 16:00,1895.49,1899.82,1881.25,1884.0,1356.58970697
1771866000000,2026-02-23 17:00,1884.5,1887.62,1837.22,1863.04,3876.26486422
1771869600000,2026-02-23 18:00,1863.74,1873.48,1855.01,1857.45,1583.60483614
1771873200000,2026-02-23 19:00,1857.46,1864.14,1847.22,1856.76,517.12700084
1771876800000,2026-02-23 20:00,1856.76,1862.19,1846.57,1859.7,1397.6402308
1771880400000,2026-02-23 21:00,1860.56,1868.85,1858.33,1862.48,835.25395423
1771884000000,2026-02-23 22:00,1863.05,1869.37,1859.25,1859.25,1197.85447848
1771887600000,2026-02-23 23:00,1859.25,1866.43,1850.62,1856.01,2360.0909941
1771891200000,2026-02-24 00:00,1855.62,1868.77,1855.04,1867.25,528.46722932
1771894800000,2026-02-24 01:00,1867.25,1867.25,1811.5,1840.49,4055.05395505
1771898400000,2026-02-24 02:00,1840.37,1853.9,1836.11,1843.32,1371.64446787
1771902000000,2026-02-24 03:00,1842.86,1842.86,1823.11,1830.8,3027.05919293
1771905600000,2026-02-24 04:00,1831.21,1833.42,1813.6,1829.99,4390.09026533
1771909200000,2026-02-24 05:00,1830.0,1839.8,1814.1,1825.85,2827.74578269
1771912800000,2026-02-24 06:00,1825.84,1830.39,1817.87,1820.23,658.89763839
1771916400000,2026-02-24 07:00,1820.24,1830.88,1815.0,1824.11,612.74409948
1771920000000,2026-02-24 08:00,1825.23,1835.74,1818.01,1831.3,289.50246192
1771923600000,2026-02-24 09:00,1831.11,1834.13,1814.65,1826.21,344.40894033
1771927200000,2026-02-24 10:00,1826.45,1828.98,1820.18,1825.76,543.69244326
1771930800000,2026-02-24 11:00,1825.76,1827.18,1818.12,1825.97,689.77970724
1771934400000,2026-02-24 12:00,1826.69,1829.84,1821.06,1823.8,579.21278333
1771938000000,2026-02-24 13:00,1823.8,1826.81,1792.8,1815.53,2914.26654571
1771941600000,2026-02-24 14:00,1815.33,1847.4,1803.2,1834.3,2870.75502775
1771945200000,2026-02-24 15:00,1834.88,1849.99,1828.7,1847.64,1692.83368194
1771948800000,2026-02-24 16:00,1847.65,1863.01,1838.8,1858.84,1025.41571437
1771952400000,2026-02-24 17:00,1858.76,1864.63,1849.72,1856.09,2568.38026874
1771956000000,2026-02-24 18:00,1855.7,1859.99,1845.77,1854.77,1024.57787367
1771959600000,2026-02-24 19:00,1854.84,1863.52,1847.41,1852.48,3128.51543552
1771963200000,2026-02-24 20:00,1852.48,1862.0,1849.85,1858.74,458.15477207
1771966800000,2026-02-24 21:00,1859.02,1859.02,1845.77,1854.5,463.66228954
1771970400000,2026-02-24 22:00,1854.25,1863.99,1853.3,1860.51,296.62108033
1771974000000,2026-02-24 23:00,1860.44,1860.44,1851.8,1851.81,349.42615215
1771977600000,2026-02-25 00:00,1851.81,1856.54,1846.74,1851.87,291.68819354
1771981200000,2026-02-25 01:00,1852.02,1923.91,1850.71,1918.8,2815.1420224
1771984800000,2026-02-25 02:00,1918.35,1946.22,1918.35,1920.97,2115.15851963
1771988400000,2026-02-25 03:00,1920.92,1922.37,1903.78,1905.91,1145.72818372
1771992000000,2026-02-25 04:00,1906.2,1914.36,1895.48,1906.16,842.63915466
1771995600000,2026-02-25 05:00,1906.16,1907.94,1878.31,1887.63,1211.38913936
1771999200000,2026-02-25 06:00,1888.04,1895.82,1884.97,1885.04,238.34977552
